dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
36,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,4aihdtm9m5evl5ohlx54ccs9g,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4aihdtm9m5evl5ohlx54ccs9g
27,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,4luj0v1ttpt61sniftg4bxrtg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4luj0v1ttpt61sniftg4bxrtg
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,,Spain,4nclyvzibmrs9tt903ccbythx,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4nclyvzibmrs9tt903ccbythx
16,Gonzalo García,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Spain,4o9d3hpjlicgce9gtbewyzhn8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4o9d3hpjlicgce9gtbewyzhn8
29,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Goalkeeper,Spain,587fw0wi1ke5kv6tdnyx78xec,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/587fw0wi1ke5kv6tdnyx78xec
10,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,France,5e9ilgrz3tzg9kd1gk3yvrahh,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/5e9ilgrz3tzg9kd1gk3yvrahh
1,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Goalkeeper,Belgium,6crmq7vzqts58wg196q48sc7p,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6crmq7vzqts58wg196q48sc7p
22,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Germany,6fzbp94hf19ysotdassrqdc5x,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6fzbp94hf19ysotdassrqdc5x
23,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,France,6q69l3ppqfqbryjubcrujfi6t,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6q69l3ppqfqbryjubcrujfi6t
4,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Austria,6w5wyari2p4bh2zzy2x2f6hg5,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6w5wyari2p4bh2zzy2x2f6hg5
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,,Argentina,7lm461v9oys1wukz06yzb2jh0,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/7lm461v9oys1wukz06yzb2jh0
2,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,7oykphzczagr975xsqt70s89h,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/7oykphzczagr975xsqt70s89h
32,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,8knybibneen7qx8jdg9voh7v8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/8knybibneen7qx8jdg9voh7v8
3,Éder Militão,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Brazil,8wvkrrbqqthuwda8twg03yuax,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/8wvkrrbqqthuwda8twg03yuax
35,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,9650u1owvf264fwnuzc0zlfro,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/9650u1owvf264fwnuzc0zlfro
49,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,974pgl5fo69ks8qsv1oorx8us,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/974pgl5fo69ks8qsv1oorx8us
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,,Spain,9asmnqs6vdk7dyhusglr5phat,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/9asmnqs6vdk7dyhusglr5phat
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,9b2viksiavag66sxdw7n45qms,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/9b2viksiavag66sxdw7n45qms
,Reinier,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Brazil,9iwptrplnmwst5nfimyuqekq2,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/9iwptrplnmwst5nfimyuqekq2
45,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,9ksawmk9ligul6vfjihf50r8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/9ksawmk9ligul6vfjihf50r8
18,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,a4kw8u4dqsslfwe1ux08lbmc,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/a4kw8u4dqsslfwe1ux08lbmc
