liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,Recoveries,Rightside Passes,Substitute On,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Times Tackled,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Blocks,Foul Attempted Tackle,GK Successful Distribution,Goal Kicks,Goals Conceded Outside Box,Key Passes (Attempt Assists),PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Long Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Total Clearances,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Own Half,Yellow Cards,Blocked Shots,Corners Taken (incl short corners),Successful Lay-offs,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Through balls,Total Big Chances Created,Unsuccessful Corners into Box,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Goal Assists,Direct Setpiece Goals,Left Foot Goals,Set Pieces Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Last Player Tackle,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Foul Won Penalty,Penalties Faced,Punches,Straight Red Cards,Total Red Cards,Clean Sheets,Shots Created,Hit Woodwork,Headed Goals,Other Goals,Second Goal Assists,Crosses not Claimed,Saves made - caught,Red Cards - 2nd Yellow,Own Goal Scored,Penalties Saved,Saves from Penalty,Clearances Off the Line,Penalties Off Target
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,9ksawmk9ligul6vfjihf50r8,Thiago Pitarch,Midfielder,45,4.0,3.0,1.0,5.0,29.0,30.0,22.0,17.0,5.0,20.0,18.0,5.0,3.0,2.0,18.0,14.0,4.0,,,3.0,31.0,105.0,,,9.0,10.0,27.0,2.0,97.0,42.0,55.0,93.0,,219.0,1.0,2.0,1.0,14.0,105.0,97.0,8.0,127.0,1.0,4.0,7.0,0.0,,2.0,,,1.0,,1.0,1.0,,3.0,3.0,1.0,1.0,4.0,2.0,1.0,,1.0,,3.0,5.0,,,1.0,1.0,4.0,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,974pgl5fo69ks8qsv1oorx8us,Mario Rivas,Defender,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,broq8imimhtlejtffissquy5m,Rodrygo,Forward,11,,,,5.0,29.0,69.0,37.0,17.0,20.0,100.0,24.0,5.0,3.0,3.0,37.0,17.0,20.0,,,2.0,24.0,100.0,,1.0,49.0,14.0,26.0,3.0,81.0,68.0,20.0,84.0,1.0,229.0,12.0,3.0,7.0,46.0,103.0,84.0,19.0,176.0,7.0,26.0,18.0,0.0,,2.0,,,,9.0,4.0,2.0,3.0,2.0,1.0,12.0,,,,1.0,,1.0,8.0,1.0,29.0,9.0,2.0,,1.0,2.0,2.0,,4.0,1.0,4.0,5.0,,4.0,3.0,,4.0,4.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,10.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,Defender,22,10.0,4.0,6.0,6.0,20.0,42.0,18.0,9.0,9.0,8.0,69.0,6.0,6.0,5.0,8.0,5.0,3.0,,,4.0,120.0,307.0,1.0,1.0,9.0,21.0,110.0,,283.0,68.0,227.0,288.0,,540.0,,4.0,,27.0,319.0,295.0,24.0,370.0,,17.0,9.0,0.0,5.0,1.0,9.0,9.0,1.0,1.0,5.0,5.0,1.0,6.0,,,3.0,7.0,1.0,2.0,,24.0,1.0,3.0,4.0,1.0,1.0,7.0,15.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,Midfielder,14,27.0,7.0,20.0,13.0,72.0,123.0,99.0,39.0,60.0,115.0,204.0,13.0,15.0,13.0,72.0,32.0,40.0,,,26.0,236.0,681.0,1.0,2.0,54.0,50.0,186.0,,628.0,331.0,315.0,623.0,2.0,1125.0,10.0,16.0,10.0,70.0,698.0,645.0,53.0,861.0,4.0,34.0,42.0,0.0,12.0,13.0,2.0,2.0,2.0,9.0,10.0,4.0,4.0,13.0,2.0,6.0,1.0,22.0,10.0,14.0,,24.0,9.0,24.0,7.0,1.0,1.0,6.0,11.0,20.0,3.0,7.0,,13.0,4.0,5.0,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,10.0,2.0,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,3pxte13sf3ybzb3cgvim1tqtw,Valde,Defender,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,1i9wi65k2foqwudeqiyih87hl,F. Valverde,Midfielder,8,21.0,10.0,11.0,12.0,118.0,137.0,89.0,42.0,47.0,221.0,151.0,12.0,16.0,14.0,68.0,32.0,36.0,,,11.0,275.0,618.0,,2.0,55.0,43.0,89.0,,550.0,336.0,228.0,531.0,25.0,1072.0,12.0,7.0,4.0,107.0,633.0,564.0,69.0,824.0,7.0,59.0,52.0,1.0,4.0,3.0,,,2.0,17.0,25.0,17.0,1.0,12.0,2.0,12.0,,33.0,7.0,13.0,1.0,27.0,5.0,20.0,22.0,11.0,11.0,7.0,17.0,21.0,,7.0,1.0,13.0,12.0,4.0,1.0,,,4.0,2.0,,3.0,3.0,3.0,,,,,,2.0,2.0,2.0,,3.0,0.0,4.0,1.0,4.0,,1.0,,,,,,,,,,,1.0,,,,,,3.0,21.0,,,,,,,,,,,1.0,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,b4witgokm49tidm1a83qcvbop,Vinícius Júnior,Forward,7,6.0,4.0,2.0,13.0,140.0,210.0,121.0,64.0,57.0,399.0,61.0,13.0,15.0,13.0,115.0,60.0,55.0,1.0,,,26.0,394.0,,2.0,133.0,35.0,175.0,1.0,313.0,247.0,77.0,309.0,1.0,1080.0,43.0,10.0,24.0,179.0,402.0,321.0,81.0,631.0,26.0,77.0,74.0,3.0,,4.0,,,2.0,18.0,23.0,7.0,21.0,12.0,3.0,26.0,,12.0,4.0,1.0,,,41.0,5.0,102.0,14.0,13.0,,7.0,18.0,2.0,12.0,5.0,11.0,18.0,20.0,1.0,3.0,2.0,7.0,7.0,1.0,5.0,4.0,5.0,,8.0,9.0,2.0,1.0,4.0,11.0,3.0,1.0,2.0,3.0,4.0,,4.0,,1.0,,,,,,,,,,,,1.0,,,,,2.0,22.0,2.0,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,3r8kqt2bz34yw8e2h4jdp96hg,Daniel Yáñez,Forward,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,2spn42sn73gxwyt6ucobiknl6,Manuel Ángel,Midfielder,37,,,,2.0,3.0,6.0,6.0,4.0,2.0,5.0,4.0,2.0,,,6.0,4.0,2.0,,,2.0,1.0,20.0,,,2.0,2.0,12.0,2.0,20.0,9.0,11.0,19.0,,30.0,2.0,2.0,1.0,3.0,20.0,20.0,,30.0,1.0,,,0.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
